years,place,lat,lon
5045,west haverstraw,41.209539,-73.985418
5042,herndon,38.969555,-77.386098
5615,oradell,40.958709,-74.036806
9235,new city,41.147595,-73.989306
2330,skowhegan,44.765062,-69.719218
3764,strasburg,39.983156,-76.184123
3958,manchester center,43.177021,-73.057049
1770,evansville,42.780283,-89.299284
2813,new haven,41.308274,-72.927883
2635,shrewsbury,42.295927,-71.712847
1922,chaplin,41.794821,-72.127299
4728,middleborough,41.892994,-70.910771
1624,sandston,37.523400,-77.315845
4261,murrells inlet,33.551002,-79.041426
1740,middleburg,40.785917,-77.047203
1285,peoria,40.693649,-89.588986
2030,girard,41.153946,-80.701466
3701,smithville,40.862278,-81.861805
1045,rockaway,40.901210,-74.514323
1319,san marino,34.121397,-118.106458
4694,orangeburg,41.046486,-73.949582
2874,leadville,39.250823,-106.292524
3770,woodbury,41.544540,-73.209002
1126,ridgefield,45.815115,-122.742601
922,schuylkill haven,40.630646,-76.171054
523,windsor locks,41.924292,-72.645447
571,bloomfield,41.826488,-72.730094
679,lowville,43.786736,-75.491850
795,marcus hook,39.819279,-75.418527
574,jamestown,42.825582,-85.842534
952,westhampton beach,40.809380,-72.645828
833,kingsland,30.799956,-81.689826
695,angleton,29.169410,-95.431885
998,soddy-daisy,35.235903,-85.190790
761,richmond,37.747857,-84.294654
628,willow street,39.979266,-76.276347
521,gonzales,30.238529,-90.920099
604,seneca county,42.765189,-76.872096
526,strongsville,41.314497,-81.835690
633,orange,38.245411,-78.110834
515,bloomfield,42.899167,-77.429722
688,hampstead,39.604825,-76.849977
766,holton,39.465272,-95.736372
514,seguin,29.568841,-97.964727
603,washtenaw county,42.307649,-83.847302
951,hillsboro,43.114728,-71.895049
848,east brunswick,40.431695,-74.404978
777,plymouth,41.343655,-86.309728
521,richmond,37.540725,-77.436048
994,gerald,38.399771,-91.330709
980,wallace,34.735724,-77.995263
713,marshall,42.272264,-84.963315
517,south river,40.446495,-74.385983
746,olney,39.153163,-77.066923
568,west springfield,42.107038,-72.620368
506,rocky mount,35.938210,-77.790534
817,cave junction,42.162891,-123.648123
477,richland center,43.334705,-90.386793
150,st. clair county,38.400812,-89.925323
425,portland,42.867205,-84.910079
151,sussex,41.209818,-74.607661
304,rochester,42.680588,-83.133821
